"MouseID","AKT_N","AMPKA_N","APP_N","BDNF_N","BRAF_N","Bcatenin_N","CAMKII_N","CREB_N","DSCR1_N","DYRK1A_N","ELK_N","ERK_N","GSK3B_N","ITSN1_N","JNK_N","MEK_N","MTOR_N","NR1_N","NR2A_N","NR2B_N","P38_N","PKCA_N","RSK_N","SOD1_N","TRKA_N","pAKT_N","pBRAF_N","pCAMKII_N","pCREB_N","pELK_N","pERK_N","pJNK_N","pMEK_N","pMTOR_N","pNR1_N","pNR2A_N","pNR2B_N","pNUMB_N","pPKCAB_N","pRSK_N","ADARB1_N","ARC_N","AcetylH3K9_N","BAD_N","BAX_N","BCL2_N","Behavior","CDK5_N","CaNA_N","EGR1_N","ERBB4_N","GFAP_N","Genotype","GluR3_N","GluR4_N","H3AcK18_N","H3MeK4_N","IL1B_N","NUMB_N","P3525_N","P70S6_N","PSD95_N","RAPTOR_N","RRP1_N","S6_N","SHH_N","SNCA_N","SYP_N","TIAM1_N","Tau_N","Treatment","Ubiquitin_N","class","nNOS_N","pCASP9_N","pCFOS_N","pGSK3B_N","pGSK3B_Tyr216_N","pP70S6_N","pPKCG_N","pS6_N"
"3414_4","0.582894436","0.32699793899999996","0.43233341","0.324364552","0.631211358","2.243989008","0.309251202","0.173460041","0.51534234","0.731738035","1.15720174","2.527593313","1.351270895","0.944240898","0.23929471","0.26093428","0.362605908","2.32024273","3.621250286","0.497137623","0.300893062","0.316922372","0.149645065","0.298488665","0.7476528509999999","0.198648958","0.162239524","2.257041447","0.203457751","1.7584153880000002","0.885161438","0.241813602","0.24627891","0.61140371","0.7232654000000001","0.43599725200000006","1.4393176090000002","0.278452027","1.766544539","0.44721777","0.949846018","0.104487462","0.175172313","0.11577944","0.184337879","0.105605956","C/S","0.297844259","1.795497874","0.115926089","0.150608594","0.107493767","Ts65Dn","0.221513418","0.116366036","0.117319255","0.133304004","0.484161901","0.181844845","0.272107347","0.905851298","2.851444493","0.243073048","0.132350785","0.381434228","0.202522364","0.118565772","0.388400059","0.366155255","0.196436428","Memantine","0.966050741","t-CS-m","0.198782813","1.424695703","0.10605886866666668","0.156034609","0.902991641","0.29860316","1.547587623","0.10448746199999999"
"3424_2","0.8187541859999999","0.383255191","0.400267917","0.335432016","0.335565975","2.75177495","0.378566644","0.174949766","0.5519089079999999","0.379772271","1.438044206","2.858673811","1.265639652","0.581379772","0.252511721","0.30609511100000003","0.488010717","2.64822505","4.874614869","0.595981246","0.445679839","0.28854655100000004","0.16651038199999998","1.075686537","0.798392498","0.235900871","0.185532485","3.41232418","0.219156062","1.425987944","0.449698593","0.33395847300000003","0.300468855","0.85961152","1.012592096","0.937575352","1.924849297","0.302210315","1.30703282","0.4137977229999999","1.5985182969999998","0.137543965","0.101174886","0.138971808","0.203547108","0.11293273133333331","S/C","0.294394971","1.089650528","0.18335225933333332","0.167926364","0.11711442","Control","0.215295966","0.13230562","0.12699244199999998","0.18569281566666665","0.5512983610000001","0.206315947","0.290503629","1.174287211","2.454089651","0.305157401","0.147347153","0.368854299","0.227643493","0.161191349","0.473920527","0.3958472870000001","0.20683978100000003","Saline","1.346329417","c-SC-s","0.203921275","1.5391005009999998","0.110005238","0.15243583","0.8781710690000001","0.347756196","1.366758961","0.137543965"
"363_15","0.5623196770000001","0.37305251","0.523946913","0.35401038700000004","0.623196769","1.765724178","0.388343912","0.216387767","0.6713791109999999","0.621177149","0.909694172","1.67051356","1.253606463","0.819965378","0.321984997","0.288517023","0.529140219","2.194171956","2.889786497","0.624927871","0.536930179","0.4050779000000001","0.199942297","0.35718407399999996","0.69474899","0.27120600100000003","0.221581073","5.004616272","0.230236584","1.413156376","0.8118869009999999","0.336122331","0.30842469699999997","0.773514137","0.822850548","0.639930756","1.386035776","0.401038661","2.431909983","0.628967109","1.106403162","0.095177866","0.28869565199999997","0.229565217","0.14671936800000002","0.163162055","C/S","0.335019763","1.393201581","0.236205534","0.143715415","0.12758893300000002","Ts65Dn","0.23256917","0.137391304","0.226245059","0.255019763","0.482529644","0.156837945","0.30403162100000003","0.845375494","2.016126482","0.366993653","0.157628458","0.5772332020000001","0.226245059","0.152885375","0.462766798","0.467686093","0.239051383","Memantine","1.206798419","t-CS-m","0.175335968","1.452332016","0.138814229","0.153359684","0.92173913","1.085401039","3.381976285","0.095177866"
"50810B_7","0.646904684","0.320995742","0.434490665","0.278250901","0.41008843799999994","1.88224697","0.310186702","0.142482804","0.575171962","0.5545365210000001","1.097936456","2.5776285619999997","1.227481166","0.746642647","0.20111365899999997","0.211758926","0.436128398","2.174582378","3.601703243","0.5042581070000001","0.313953488","0.26252866","0.12561415","0.28267278100000004","0.612676056","0.200131019","0.144448084","1.885031117","0.17179823100000002","1.5189977069999998","0.76744186","0.244677367","0.195709139","0.6868653779999999","0.830822142","0.577301015","1.522928267","0.376514903","1.278087127","0.324926302","1.579426735","0.103759264","0.079382088","0.124564693","0.158317707","0.109741941","C/S","0.273149388","1.427538173","0.153853023","0.13920885800000002","0.121439414","Ts65Dn","0.229127601","0.11626038","0.105366551","0.15813912","0.518439146","0.201893026","0.267256005","1.137690865","2.09179391","0.25925319399999996","0.15992499300000002","0.561925172","0.186445218","0.130011608","0.366639879","0.400425811","0.215465667","Saline","1.003303866","t-CS-s","0.142959193","1.581123315","0.113135101","0.14653094","0.801946602","0.153619391","0.753728011","0.103759264"
"3477_9","0.7225707990000001","0.469730371","0.449381041","0.385111073","0.45158555200000006","2.350856368","0.413769713","0.223842632","0.762082415","0.462777684","1.34763439","2.701204002","1.353400034","0.6835679159999999","0.287434289","0.328980838","0.558419535","2.369340343","4.97965067","0.649821943","0.468034594","0.426318467","0.185857216","0.405121248","0.795997965","0.301509242","0.204171613","4.481939969","0.238256741","1.894522639","0.715448533","0.410547736","0.335763948","0.8775648629999999","0.846023402","0.995590978","1.679667628","0.460742751","3.0613871460000004","0.6065796170000001","1.877723062","0.105917703","0.285535431","0.153222019","0.19530924","0.11910525","C/S","0.291628412","1.261413905","0.156497788","0.13705033","0.123946248","Control","0.176195643","0.113596528","0.185627243","0.16730415399999998","0.39646106299999995","0.156664719","0.295217428","0.7842417159999999","1.862782739","0.4454807529999999","0.179617728","0.294967031","0.219931558","0.133544779","0.3664134879999999","0.551127692","0.161589183","Saline","1.023537267","c-CS-s","0.149570153","1.345547116","0.114347717","0.16367582","0.691595025","0.717144311","2.1514898590000002","0.105917703"
"322_4","0.7403192670000001","0.374901217","0.406827881","0.322269638","0.316895843","2.066698277","0.381223329","0.159159159","0.599652284","0.384858543","1.189031136","3.181444602","1.077287814","0.540698593","0.251936147","0.258100205","0.476055002","2.177809388","4.7992729569999995","0.577366841","0.429429429","0.291923502","0.149201833","0.314683104","0.708708709","0.231863442","0.17464833300000002","3.867235657","0.183657342","1.308993204","0.607554923","0.342342342","0.240872451","0.756756757","0.8127074440000001","0.851272325","1.663821716","0.46530741299999995","1.17053896","0.370317686","1.437891763","0.137724022","0.109826079","0.13517136500000002","0.17886466","0.129778406","C/S","0.315264412","1.682969895","0.2275119483333333","0.166769665","0.124216474","Control","0.238456785","0.14054913","0.154515493","0.16109558166666668","0.664606692","0.196433301","0.290721285","1.113975457","2.323386598","0.31136399600000003","0.16456255","0.413701775","0.227421206","0.14452193900000002","0.491745387","0.402718508","0.196080162","Memantine","1.290103293","c-CS-m","0.17859980600000003","1.871810718","0.132691798","0.149995586","0.824490156","0.174174174","0.861657985","0.137724022"
"3420_12","0.5895678089999999","0.332041729","0.379433681","0.301639344","0.36929955299999995","1.665275708","0.413710879","0.259314456","0.65633383","0.273025335","0.905812221","1.433979136","0.8667660209999999","0.384500745","0.268852459","0.282265276","0.4804769","1.885842027","2.868256334","0.596721311","0.5049180329999999","0.317436662","0.211624441","0.636363636","0.610730253","0.292399404","0.23606557399999997","4.467660209","0.261102832","1.359165425","0.375260805","0.377645306","0.326080477","0.887034277","0.7290611029999999","1.016989568","1.384500745","0.355588674","1.152608048","0.467958271","1.214885159","0.134275618","0.195892226","0.15695123166666666","0.164973498","0.155173223","S/C","0.26568021199999997","1.124779152","0.184738532","0.171819788","0.118595406","Control","0.205167845","0.109761484","0.253312721","0.245990996","0.674028269","0.148189046","0.309187279","0.918065371","2.5311395759999997","0.362444113","0.223939929","0.286660777","0.31117491199999997","0.223498233","0.4684187279999999","0.39850968700000006","0.189929329","Memantine","1.730565371","c-SC-m","0.161439929","1.835689046","0.242712014","0.16563604199999998","0.912323322","0.46587183299999996","1.981227915","0.134275618"
"3521_6","0.7141124590000001","0.38732083799999995","0.4363836820000001","0.381477398","0.660639471","2.54432194","0.372326351","0.179492834","0.5","0.633406836","1.357772878","2.9469680260000004","1.562734289","0.8686879820000001","0.262183021","0.296361632","0.460970232","2.484785006","4.568467475","0.567805954","0.382690187","0.363836825","0.17541345100000005","0.34707828","0.835060639","0.236383682","0.185667034","4.977287762","0.226681367","1.6394707830000002","0.963947078","0.332965821","0.29349503899999996","0.7729878720000001","0.830209482","0.6965821390000001","1.548070562","0.400441014","2.085667034","0.509481808","1.806447761","0.123283582","0.178985075","0.129910448","0.16841791","0.097850746","C/S","0.32710447800000003","1.5383283580000002","0.13791044800000002","0.15922388099999998","0.112179104","Control","0.212955224","0.118268657","0.114447761","0.153014925","0.479283582","0.18561194","0.310149254","0.955462687","2.225850746","0.310253583","0.139641791","0.543223881","0.237074627","0.138567164","0.467641791","0.401653804","0.200776119","Memantine","1.175880597","c-CS-m","0.18561194","1.482746269","0.091761194","0.168179104","0.923402985","0.35292172","1.8153432840000001","0.12328358199999999"
"3489_5","0.7801505609999999","0.351820556","0.35243509","0.307420495","0.267322169","2.55261945","0.364879398","0.165155938","0.527730834","0.25165155899999997","1.197111692","2.83207866","1.116761407","0.458288524","0.24274082","0.278844677","0.430788139","2.528499001","4.143954525","0.54724228","0.38869258","0.278844677","0.182977416","0.97403595","0.739130435","0.227377477","0.17929021399999998","2.772161622","0.21631587","1.283300046","0.324320172","0.327392841","0.27408204","0.7372868340000001","0.911199877","0.795053004","1.7305269630000002","0.26916577","1.181594715","0.422645568","0.954495006","0.128560858","0.06511283799999999","0.12227155","0.172031077","0.108305586","S/C","0.283758787","1.258324084","0.138827229","0.155382908","0.099334073","Control","0.203200148","0.107750647","0.10664077","0.194691084","0.47354791","0.185072142","0.266648169","0.972345542","2.496207917","0.272699339","0.13290788","0.312800592","0.205512394","0.150295967","0.5062893079999999","0.369334767","0.14132445400000002","Saline","1.248242693","c-SC-s","0.211801702","1.4863115059999998","0.101646319","0.13716241199999998","0.778116907","0.333691811","1.264983352","0.128560858"
"3479_12","0.571402043","0.376973073","0.371773445","0.34038997200000004","0.426369545","1.956174559","0.378087279","0.183286908","0.670380687","0.494150418","1.259532749","2.674651811","1.340947075","0.628040854","0.244382544","0.26666666699999997","0.456824513","2.4363973999999997","3.659795729","0.597400186","0.406685237","0.426555246","0.163416899","0.360445682","0.675208914","0.086350975","0.160817084","2.687836583","0.210213556","1.566388115","0.56545961","0.222098422","0.241411328","0.727948004","0.7992571959999999","0.6020427110000001","1.517548747","0.362859796","2.35097493","0.40724234","1.293343362","0.113827253","0.142534788","0.17147889333333333","0.177384982","0.135477825","C/S","0.287200702","1.370690736","0.184584041","0.155196189","0.127115457","Control","0.245204964","0.135138523","0.15256362","0.193305754","0.47787388700000005","0.146671681","0.330324683","0.694747399","2.007646985","0.329805014","0.148928168","0.366177761","0.238435502","0.156700514","0.417324809","0.428783658","0.154820108","Saline","0.995361665","c-CS-s","0.163971418","1.212109816","0.138397894","0.166478626","0.859470979","0.7010213559999999","2.547950357","0.113827253"
